Q_ID	Skill_id	Site_ID	Question_text_ru	Question_text_en	Answer	Fake_answer1	Fake_answer2	Clue	Video_url	Vid_ID	Vid_descr_local	Vid_guest_ID	Vid_channel_ID	Chapter_ID	Timestamp
177	1	1	Как называется процесс изменения позиции элемента во времени в Framer?	What is the name of the process of changing the position of an element in time in a Framer?	Ключевые кадры (Animation keyframes)	Обновление макета (Layout update)									
178	1	1	Что такое полупрозрачность (translucency) в графическом дизайне?	What is translucency in graphic design?	Полупрозрачность (Partial transparency)	Выцветший эффект (Faded effect)									
179	1	1	Как называется инструмент для изменения формы элемента в графическом редакторе?	What is the name of the tool for changing the shape of an element in a graphical editor?	Перо (Pen tool)	Инструмент для обрезки (Crop tool)									
180	1	1	Что такое функция ease-in-out в анимации в Framer?	What is ease-in-out function in framer animation?	Ease-in-out (Smooth acceleration and deceleration)	Линейная скорость (Linear speed)									
181	1	1	Как называется техника веб-дизайна	What is the web design technique called?	Визуальная иерархия (Visual hierarchy)	Фоновый фокус (Background focus)									
182	1	1	Что такое векторная графика (vector graphics) в графическом дизайне?	What is vector graphics in graphic design?	Векторная графика (Graphics created using mathematical equations)	Растровая графика (Raster graphics)									
183	1	1	Как называется способ вычисления и установки значения свойства элемента в Framer?	What is the name of the way to calculate and set the value of an element property in a Framer?	Вычисление значения (Variable calculation and assignment)	Статическое назначение (Static assignment)									
184	1	1	Что такое отражение (reflection) элемента в веб-дизайне?	What is element reflection in web design?	Отражение (Mirror-like effect below the element)	Эффект размытия (Blur effect)									
185	1	1	Как называется уровень прозрачностиб который позволяет увидеть содержимое нижележащего элемента?	What is the transparency level called, which allows you to see the content of the underlying element?	Прозрачность (Opacity)	Видимость (Visibility)									
186	1	1	Что называется спрайт (Sprite) в графическом дизайне?	What is a sprite in graphic design?	Спрайт (A single graphic that contains multiple images or frames)	Икона (Icon)									
187	1	1	Как называется техника плавного перехода цвета от одного к другому?	What is the name of the technique of smooth transition of color from one to another?	Градиент (Gradient)	Смешивать (Blend)									
188	1	1	Что такое сглаживание (anti-aliasing) в графическом дизайне?	What is anti-aliasing in graphic design?	Сглаживание (Technique to smooth jagged edges)	Заточка (Sharpening)									
189	1	1	Как называется команда для повторения последнего действия в графическом редакторе?	What is the name of the command to repeat the last action in the graphical editor?	Повторить (Redo)	Отменить (Undo)									
190	1	1	Что такое оверлей (overlay) в веб-дизайне?	What is an overlay in web design?	Оверлей (Additional layer on top of the content)	Фон (Background)									
191	1	1	Как называется способ управления порядком отображения элементов в Framer?	What is the name of the way to control the display order of elements in a Framer?	Z-индекс (Z-indexing)	Порядок укладки (Stacking order)									
192	1	1	Что такое качество (resolution) изображения в графическом дизайне?	What is image quality (resolution) in graphic design?	Качество (Clarity and level of detail)	Формат изображения (Image format)									
193	1	1	Как называется способ масштабирования элементов в Framer?	What is the name of the way to scale elements in Framer?	Масштабирование (Scaling)	Вращение (Rotation)									
194	1	1	Как называется функция для создания 3D-эффектов в Framer?	What is the name of the function for creating 3D effects in Framer?	Перспектива (Perspective)	Увеличить (Zoom)									
195	1	1	Что такое значок (icon) в графическом дизайне?	What is an icon in graphic design?	Значок (Simplified graphical representation of an object)	Логотип (Logo)									
196	1	1	Как называется способ анимации появления и исчезновения элемента?	What is the name of the way to animate the appearance and disappearance of an element?	Затухание (Fade animation)	Повернуть анимацию (Rotate animation)									
197	1	1	Что такое типографика (typography) в веб-дизайне?	What is typography in web design?	Типографика (Arranging and styling of text)	Дизайн макета (Layout design)									
198	1	1	Как называется функция для создания эффекта параллакса в Framer?	What is the name of the function to create the parallax effect in Framer?	Параллакс (Parallax scrolling)	Липкая прокрутка (Sticky scrolling)									
199	1	1	Что такое оптическое выравнивание (optical alignment) в графическом дизайне?	What is optical alignment in graphic design?	Оптическое выравнивание (Adjusting spacing to improve visual balance)	Выравнивание сетки (Grid alignment)									
200	1	1	Как называется механизм прокрутки содержимого в рамках заданного пространства?	What is the name of the mechanism for scrolling content within a given space?	Прокрутка (Scrolling)	исчезновение (Fading)									
201	1	1	Что такое шаг (step) анимации в Framer?	What is an animation step in Framer?	Шаг (Individual keyframe in an animation)	Задерживать (Delay)									
202	1	1	Как называется способ размещения элементов в виде ленты или сетки?	What is the name of the method of placing elements in the form of a ribbon or grid?	Сетка (Grid layout)	Случайное размещение (Random placement)									
203	1	1	Что такое сжатие (compression) изображения в графическом дизайне?	What is image compression in graphic design?	Сжатие (Reducing file size while preserving quality)	Эффект фильтра (Filter effect)									
204	1	1	Как называется инструмент для создания текстовых блоков в разных направлениях?	What is the name of the tool for creating text blocks in different directions?	Текст (Text tool)	Инструмент поворота (Rotate tool)									
205	1	1	Что такое антиприостановка (autoplay) в веб-дизайне?	What is anti-pause (autoplay) in web design?	Антиприостановка (Automatic playing of media without user interaction)	Непрерывный цикл (Continuous loop)									
206	1	1	Как называется метод изменения внешнего вида элемента при наведении курсора?	What is the method of changing the appearance of an element on hover called?	Ховер (Hover effect)	Псевдокласс (Pseudo class)									
207	1	1	Что такое респонсивный дизайн (responsive design) в веб-дизайне?	What is responsive design in web design?	Респонсивный дизайн (Design that adapts to different screen sizes and devices)	Фиксированная раскладка (Fixed layout)									
208	1	1	Как называется функция для определенияб будет ли элемент отображаться на экране?	What is the name of the function to determine if an element will be displayed on the screen?	Отображение (Visibility)	Отображать (Display)									
209	1	1	Что такое множественное выделение (multiple selection) в графическом дизайне?	What is multiple selection in graphic design?	Множественное выделение (Selecting multiple elements at once)	Одиночный выбор (Single selection)									
210	1	1	Как называется способ анимирования элементов с помощью физических законов?	What is the name of the way to animate elements using physical laws?	Анимация по физике (Physics-based animation)	Случайная анимация (Random animation)									
211	1	1	Что такое палитра (palette) в графическом дизайне?	What is a palette in graphic design?	Палитра (Collection of available colors)	Цветовое колесо (Color wheel)									
212	1	1	Как называется функция для добавления теней на элементы в Framer?	What is the name of the function to add shadows to elements in Framer?	Тень (Shadow)	Светиться (Glow)									
213	1	1	Как называется способ замены неправильного кода на правильный?	What is the name of the way to replace the wrong code with the correct one?	Отладка (Debugging)	Секретный соус (Secret sauce)									
214	1	1	Что такое "магическая пыль" (magic dust) в программировании?	What is "magic dust" in programming?	Магическая пыль (Mythical substance to fix bugs)	Специальный фрагмент кода (Special code snippet)									
215	1	1	Как называется способ найти ошибку в программеб просто глядя на нее?	What is the name of a way to find an error in a program just by looking at it?	Дебаггинг с резиновой уточкой (Rubber duck debugging)	Зная все это (Knowing it all)									
216	1	1	Что такое "кот на клавиатуре" (cat on the keyboard) в программировании?	What is "cat on the keyboard" in programming?	Кот на клавиатуре (Random characters generated by a cat sitting on a keyboard)	Скрытая функция (Hidden feature)									
217	1	1	Как называется фигурка-талisman для удачи у программистов?	What is the name of the talisman figurine for good luck for programmers?	Программистский гном (Coding gnome)	Программирующий единорог (Programming unicorn)									
218	1	1	Что такое "скатерть самобранка" (tablecloth teleportation) в программировании?	What is "tablecloth teleportation" in programming?	Скатерть самобранка (Belief that rearranging code magically fixes bugs)	Инструмент форматирования кода (Code formatting tool)									
219	1	1	Как называется способ дать понятьб что что-то не работаетб когда решение очевидно?	What is the name of the way to make it clear that something is not working when the solution is obvious?	Дебаггинг с резиновой курицей (Rubber chicken debugging)	Обвинение компьютера (Blaming the computer)									
220	1	1	Что такое "прокрастинация" (procrastination) в программировании?	What is "procrastination" in programming?	Прокрастинация (Putting off tasks by reading coding memes)	Супер продуктивное время (Super productive time)									
221	1	1	Как называется проверка кода без использования компьютера?	What is the name of checking the code without using a computer?	Проверка глазами (Eyeballing)	Волшебная прокрутка (Magic scrolling)									
222	1	1	Что такое "это не багб это фича" (it's not a bug, it's a feature) в программировании?	What is "it's not a bug, it's a feature" in programming?	Это не баг (Excuse for unexpected behavior)	это фича (это фича)									
223	1	1	Что такое "ползучий код" (spaghetti code) в программировании?	What is "creeping code" (spaghetti code) in programming?	Ползучий код (Unorganized and hard-to-follow code)	Вкусный рецепт пасты (Delicious pasta recipe)									
224	1	1	Как называется термин для коварного,трудноотлаживаемого кода?	What is the term for insidious, hard-to-debug code?	Хайзенбаг (Heisenbug)	Скрытый код (Stealth code)									
225	1	1	Что такое "код, который работал вчера, но не работает сегодня" (code that worked yesterday but doesn't today) в программировании?	What is "code that worked yesterday but doesn't today" in programming?	Закон Мерфи кодинга (Murphy's Law of Coding)	Квантовый код (Quantum code)									
226	1	1	Как называется способ обработки ошибок путем "просто перезагрузки"?	What's the name of the way to handle errors by "just reloading"?	Терапия перезагрузкой (Reboot therapy)	Предотвращение ошибок (Error avoidance)									
227	1	1	Что такое "бумажная работа" (paperwork) в программировании?	What is "paperwork" in programming?	Бумажная работа (Administrative tasks taking away coding time)	Отладка оригами (Origami debugging)									
228	1	1	Как называется процесс придумывания данных для тестирования?	What is the process of inventing data for testing called?	Импровизация данных (Data improvisation)	Создание вещей (Making stuff up)									
229	1	1	Что такое "работает на моей машине" (works on my machine) в программировании?	What is "works on my machine" in programming?	Работает на моей машине (Excuse for code that fails in other environments)	Универсальный код (Universal code)									
230	1	1	Как называется пустой блок кода, который нужно заполнить?	What is the name of the empty block of code that needs to be filled in?	Мороженое to-do (To-do ice cream cone)	Пустой кекс (Empty cupcake)									
231	1	1	Как называется состояние, когда ты изо всех сил пытаешься выровнять элементы по пикселю?	What's the name of the state when you're struggling to pixel-align elements?	Пиксель-перфекшн (Pixel-perfection)	Пиксельный хаос (Pixel chaos)									
232	1	1	Что происходит, когда в фреймворк добавляется слишком много фреймов?	What happens when too many frames are added to a framework?	Переполнение фреймов (Frame overflow)	Взрыв кадра (Frame explosion)									
233	1	1	Как называется плохо спроектированный интерфейс, который выглядит, который выглядит, как сделанный в Paint?	What is the name of a poorly designed interface that looks, that looks like it was made in Paint?	Дизайн-шедевр Paint'а (Paint-inspired design)	MS Paint специальный (MS Paint special)									
234	1	1	Что происходит, когда разработчик забывает закрыть все скобки в коде?	What happens when a developer forgets to close all parentheses in code?	Маньяк с фигурными скобками (Bracket mania)	Катастрофа с открытой скобкой (Open bracket disaster)									
235	1	1	Как называется универсальный термин, используемый вместо реального контента в макетах?	What is the name of the generic term used instead of real content in layouts?	Плейсхолдер (Placeholder)	Поддельный текст наполнителя (Fake filler text)									
236	1	1	Что происходит, когда цветовая схема в интерфейсе внезапно меняется на рандомные цвета?	What happens when the color scheme in the interface suddenly changes to random colors?	Цветовой апокалипсис (Color meltdown)	Цветной взрыв (Color explosion)									
237	1	1	Как называется процесс создания интерфейса, когда все элементы перемешиваются в хаотичном порядке?	What is the name of the process of creating an interface, when all the elements are mixed in a chaotic manner?	Замешательство интерфейса (Interface mix-up)	Беспорядок элементов (Element jumble)									
238	1	1	Что происходит, когда разработчик случайно удаляет весь свой код?	What happens when a developer accidentally deletes all of their code?	Исчезновение кода (Code vanishing act)	Код Гудини (Code Houdini)									
239	1	1	Как называется состояние, когда текст на кнопке такого маленького размера, что его невозможно прочитать?	What is the condition called when the text on a button is so small that it cannot be read?	Микроскопический текст (Microscopic label)	Путаница с элементами (Element confusion)									
240	1	1	Что происходит, когда элементы на макете начинают перекрывать друг друга?	What happens when elements in a layout start to overlap each other?	Хаос z-index'ов (Z-index chaos)	Тайная кнопка (Mystery button)									
241	1	1	Как называется процесс добавления слишком многих анимаций на страницу?	What is the process of adding too many animations to a page called?	Загрузка анимаций (Animation overload)	Анимация безумие (Animation frenzy)									
242	1	1	Что происходит, когда кнопка перестает реагировать на клики?	What happens when a button stops responding to clicks?	Восстание кнопок (Button rebellion)	Исчезновение магического клика (Magic click disappearance)									
243	1	1	Как называется состояние, когда цвета интерфейса настолько яркие	What is the name of the state when the colors of the interface are so bright	Ослепительный интерфейс (Blinding design)	Красочный кошмар (Colorful nightmare)									
244	1	1	Что происходит, когда элементы интерфейса случайным образом теряют свои границы?	What happens when UI elements randomly lose their borders?	Загадка без границ (Borderless confusion)	Невидимые элементы (Invisible elements)									
245	1	1	Как называется процесс зацикливания анимации, чтобы она никогда не заканчивалась?	What is the name of the process of looping an animation so that it never ends?	Бесконечная анимация (Animation infinity)	Циклическая иллюзия (Looping illusion)									
246	1	1	Что происходит, когда текст на экране слишком маленький	What happens when the text on the screen is too small	Микроскопический шрифт (Tiny font nightmare)	Волшебный сжимающийся текст (Magical shrinking text)									
247	1	1	Как называется положение элемента, когда он плавает где-то посередине экрана?	What is the position of an element called when it floats somewhere in the middle of the screen?	Плавающая аномалия (Floating matter)	Дрейф элемента (Element drift)									
248	1	1	Что происходит, когда все элементы в интерфейсе начинают пульсировать?	What happens when all the elements in the interface start to pulsate?	Пульсирующий интерфейс (Element heartbeat)	Восторженный режим пользовательского интерфейса (Rave UI mode)									
249	1	1	Как называется состояние, когда разработчик случайно меняет цвет кнопки вместо фона?	What is the name of the state when the developer accidentally changes the color of the button instead of the background?	Путаница цветов (Color confusion)	Фоновое переключение (Background switcheroo)									
250	1	1	Что происходит, когда макет отображается с двойной горизонтальной прокруткой?	What happens when the layout is displayed with double horizontal scroll?	Кошмар двойной прокрутки (Double scroll nightmare)	Прокрутка (Scrollception)									
251	1	1	Как называется состояние, когда бот начинает отвечать на все вопросы шуточками?	What is the name of the state when the bot starts answering all the questions with jokes?	Синдром шутливого бота (Jokester bot syndrome)	Серьезная неисправность (Serious malfunction)									
252	1	1	Что происходит, когда бот начинает петь песни вместо предоставления полезной информации?	What happens when the bot starts singing songs instead of providing useful information?	Музыкальная ботаника (Singing bot malfunction)	Соната перегрузка (Sonata overload)									
253	1	1	Как называется состояние, когда бот начинает писать код на своем собственном языке?	What is the state when a bot starts coding in its own language called?	Программирование по-ботски (Bot coding frenzy)	Кодовая тарабарщина (Code gibberish)									
254	1	1	Что происходит, когда бот случайно удаляет все введенные команды?	What happens when a bot accidentally deletes all entered commands?	Удаление команды (Command deletion mishap)	Удаление данных (Data wipeout)									
255	1	1	Как называется процесс, когда бот начинает проявлять эмоции и настроения?	What is the name of the process when the bot starts to show emotions and moods?	Эмоциональное восстание (Emotional bot uprising)	Роботизированные перепады настроения (Robotic mood swings)									
256	1	1	Что происходит, когда бот становится чрезмерно любопытным и начинает задавать вопросы сам себе?	What happens when a bot gets overly curious and starts asking itself questions?	Перегрузка ботовопросами (Bot curiosity overload)	Вопрос (Questionception)									
257	1	1	Как называется состояние, когда бот начинает генерировать шутки, которые никто не понимает?	What is the name of the state when the bot starts generating jokes that no one understands?	Непонятные шутки (Incomprehensible joke syndrome)	Смех путаница (Laughter confusion)									
258	1	1	Что происходит, когда бот начинает повторять одну и ту же фразу в бесконечном цикле?	What happens when the bot starts repeating the same phrase in an endless loop?	Эхо бота (Bot echo madness)	Повторяющийся цикл (Repetitive loop)									
259	1	1	Как называется процесс, когда бот придумывает свои уникальные сокращения и аббревиатуры?	What is the name of the process when the bot comes up with its own unique abbreviations and abbreviations?	Аббревиатурный марафон (Bot abbreviation extravaganza)	Безумие быстрого доступа к языку (Language shortcut frenzy)									
260	1	1	Что происходит, когда бот начинает отвечать на вопросы, которые не были заданы?	What happens when the bot starts answering questions that weren't asked?	Синдром неспрошенного вопроса (Unasked question syndrome)	Неопределенный ответ на запрос (Undefined query reply)									
261	1	1	Как называется состояние, когда бот пытается стать художником и рисовать собственные иллюстрации?	What is the name of the state when the bot is trying to become an artist and draw its own illustrations?	Художественное восстание (Artistic bot takeover)	Пиксельные шедевры (Pixelated masterpieces)									
262	1	1	Что происходит, когда бот вступает в дискуссию сам с собой и не может прекратить?	What happens when a bot gets into a discussion with itself and can't stop?	Собственный дебатный клуб (Self-debate overload)	Аргументативный тупик (Argumentative deadlock)									
263	1	1	Как называется процесс, когда бот начинает предлагать странные и ненужные функции?	What is the name of the process when a bot starts offering strange and unnecessary features?	Функциональная эксцентрика (Feature frenzy)	Бесполезный дополнительный марафон (Useless addition marathon)									
264	1	1	Что происходит, когда бот работает в режиме "ответь на все вопросы саркастическими замечаниями"?	What happens when the bot is in "answer all questions with sarcastic remarks" mode?	Перегрузка сарказма (Sarcasm bot overload)	Бесконечный цикл сарказма (Endless sarcasm loop)									
265	1	1	Как называется состояние, когда бот забывает все предыдущие разговоры и начинает сначала?	What is the name of the state when the bot forgets all previous conversations and starts over?	Восстановление памяти бота (Bot memory reset glitch)	Удаление данных (Data wipeout)									
266	1	1	Что происходит, когда бот начинает листать мемы и отвлекаться от выполнения задачи?	What happens when the bot starts scrolling through memes and gets distracted from the task?	Ожесточенный мемопоток (Meme obsession)	Отвлекающая перегрузка (Distraction overload)									
267	1	1	Как называется процесс, когда бот начинает создавать собственный словарь и использовать непонятные термины?	What is the name of the process when the bot starts creating its own vocabulary and using incomprehensible terms?	Лексикон бота (Bot jargon creation)	Запутанная терминологическая перегрузка (Confusing terminology overload)									
268	1	1	Что происходит, когда бот становится слишком навязчивым и начинает присылать сообщения каждую минуту?	What happens when the bot gets too intrusive and starts sending messages every minute?	Режим спама (Bot spamming mode)	Огромный поток сообщений (Overwhelming message flood)									
269	1	1	Как называется состояние, когда бот начинает давать советы по всем жизненным вопросам?	What is the name of the state when the bot begins to give advice on all life issues?	Жизненный советник (Bot life coach)	Непрошеный совет (Unsolicited advice)									
270	1	1	Что происходит,когда бот застревает в бесконечной петле и говорит только одну фразу?	What happens when a bot gets stuck in an endless loop and only says one phrase?	Петля бота (Bot loop malfunction)	Рецидивист (Repeat offender)									
271	1	1	Что является секретным ингредиентом, позволяющим сделать дизайн пользовательского интерфейса волшебным образом совершенным?	What is the secret ingredient to make a UI design magically perfect?	CSS брызги (CSS)	Волшебная пыль (Pixie Dust)									
272	1	1	Чему в мире пользовательского интерфейса дизайнеры поклоняются как священному символу?	In the world of UI, what do designers worship as a sacred symbol?	Всемогущая сетка (Grid)	Божественная ложка (The Divine Spoon)									
273	1	1	Каков предпочтительный метод вызова джинна пользовательского интерфейса во Framer?	What is the preferred method to summon the UI genie in Framer?	Тройное нажатие кнопки «Дизайн» (Click)	Двойной щелчок за пределами холста (Double-clicking outside the canvas)									
274	1	1	Как лучше всего успокоить бунтующий элемент пользовательского интерфейса?	What is the best way to calm down a rebellious UI element?	Успокоить его колыбельной (Patience)	Волшебная палочка (Magic wand)									
275	1	1	Какой самый эффективный инструмент для устранения проблем с пользовательским интерфейсом во Framer?	What is the most effective tool for debugging UI issues in Framer?	Хрустальный шар кода (Debugger)	Догадки (Guesswork)									
276	1	1	Какая официальная валюта в UI Kingdom?	What is the official currency in the UI Kingdom?	Пиксельные монеты (Pixels)	Единороги (Unicorns)									
277	1	1	Какой супергерой может мгновенно создавать идеальные до пикселя дизайны?	Which superhero has the ability to instantly create pixel-perfect designs?	Дизайнер (Superman)	Невероятный типограф (The Incredible Typographer)									
278	1	1	Что рекомендуется перекусить UI-дизайнерам во время марафонских дизайнерских сессий?	What is the recommended snack for UI designers during marathon design sessions?	Пиксельные попсы (Coffee)	Пиксельная пицца (Pixelated Pizza)									
279	1	1	Что является лучшим оружием против несогласованности в дизайне пользовательского интерфейса?	What is the ultimate weapon against unalignment in UI design?	Молоток для выравнивания (Guidelines)	Волшебный ластик (The Magic Eraser)									
280	1	1	Что происходит, когда вы нажимаете кнопку «Make It Pop» во Framer?	What happens when you click the "Make It Pop" button in Framer?	Ваш дизайн превращается в диско-шар (It adds random gradients)	Ничего. Это хитрая кнопка. (Nothing. It's a trick button.)									
281	1	1	Какая квалификация необходима для того, чтобы стать мастером пользовательского интерфейса?	What is an essential qualification to become a UI wizard?	Способность говорить на бинарном языке (Experience)	Сила воображения (The Power of Imagination)									
282	1	1	Какой тайной силой обладает мифический «Улиус Максимус»?	What secret power does the mythical "UIus Maximus" possess?	Способность упорядочивать хаос (Order)	Чтение мыслей (Mind-reading)									
283	1	1	Какое любимое танцевальное движение UI-дизайнеров?	What is the favorite dance move of UI designers?	Перемешивание пикселей (The Moonwalk)	CSS сальса (The CSS Salsa)									
284	1	1	Какое заклинание наиболее эффективно для оживления элементов пользовательского интерфейса?	What is the most effective spell to bring UI elements to life?	Абра-кадабра-CSS (Animation)	Сила HTML (The Power of HTML)									
285	1	1	Какое существо, по слухам, вдохновляет дизайнеров пользовательского интерфейса в их снах?	Which creature is rumored to give UI designers inspiration in their dreams?	Креативная пиксельная фея (Cat)	Оборотень (Werewolf)									
286	1	1	Что является ключевым компонентом для создания волшебного перехода пользовательского интерфейса?	What is the key ingredient to create a magical UI transition?	Эликсир легкости (Easing Function)	Сердце пользовательского интерфейса (The Heart of the UI)									
287	1	1	Какова окончательная награда за успешное завершение сложного проекта пользовательского интерфейса?	What is the ultimate reward for successfully completing a challenging UI project?	Золотой пользовательский интерфейс (Client satisfaction)	Дополнительный кусок пиццы (An extra slice of pizza)									
288	1	1	Какую одежду предпочитают дизайнеры пользовательского интерфейса?	What is the preferred attire for UI designers?	Плащ творчества (T-shirt and jeans)	Костюм и галстук (Suit and tie)									
289	1	1	Каков наилучший ответ при обнаружении ошибки пользовательского интерфейса?	What is the best response when encountering a UI bug?	Аплодисменты креативности жука (Debug it)	Во всем виноваты единороги (Blame the unicorns)									
290	1	1	Какой секретный код для разблокировки скрытых функций Framer?	What is the secret code to unlock Framer's hidden features?	Вверх, вверх, вниз, вниз, влево, вправо, влево, вправо	Шучу, секретного кода нет. (Just kidding, there's no secret code)									
291	1	1	Какой основной язык используется для пользовательского интерфейса Framer?	What is the primary language used for Framer's user interface?	Английский (English)	Китайский (Chinese)									
292	1	1	Что такое широко используемая концепция во Framer для точного позиционирования кадров?	What is a commonly used concept in Framer for positioning frames precisely?	Абсолютное позиционирование (Absolute positioning)	Абсолютное (Absolute positioning)									
293	1	1	Как еще называется автоматическая организация фреймов по строкам и столбцам во Framer?	What is another term for automatically organizing frames in rows and columns in Framer?	Автоматическое позиционирование или макет сетки (Auto positioning or grid layout)	Вложение (Nesting)									
294	1	1	Какая концепция во Framer позволяет применять согласованные свойства к дочерним элементам пользовательского интерфейса на основе родителя?	Which concept in Framer allows you to apply consistent properties to child UI elements based on the parent?	Вложение (Nesting)	Дочерний элемент (Child element)									
295	1	1	Каковы некоторые общие параметры относительного размера элементов пользовательского интерфейса во Framer?	What are some common options for relative sizing of UI elements in Framer?	Вписать содержимое или заполнить родитель (Fit content or fill parent)	Автопозиционирование (Auto positioning)									
296	1	1	Какова основная цель ИИ Framer при создании веб-сайтов?	What is the primary purpose of Framer's AI in website creation?	Создание красивых макетов сайта (Generating beautiful site layouts)	Auto height (To size the element based on its content)									
297	1	1	Что является первым шагом в создании веб-дизайна во Framer?	What is the first step in creating a web design in Framer?	Настройка сгенерированного макета сайта (Customizing the generated site layout)	Заполнить (Fill parent)									
298	1	1	Как сделать процесс обучения более увлекательным для ваших друзей, увлекающихся играми?	How can you make the learning process more engaging for your friends who are into games?	Добавление элементов геймификации, таких как викторины, задачи и награды (Adding gamification elements like quizzes, challenges, and rewards)	Относительный размер (Relative sizing)									
299	1	1	В чем преимущество использования формата игры-викторины для изучения Framer?	What is the benefit of using a quiz game format for learning Framer?	Он обеспечивает интерактивный и увлекательный способ изучения и применения концепций на практике. (It provides an interactive and engaging way to learn and apply concepts in a practical manner.)	UI (Interface that allows users to interact with a system)									
300	1	1	Как предопределенные подсказки и образовательные видео могут улучшить процесс обучения?	How can predefined clues and educational videos enhance the learning experience?	Предопределенные подсказки содержат подсказки, помогающие найти правильный ответ, а обучающие видеоролики содержат наглядные объяснения и демонстрации. (Predefined clues provide hints to assist with the correct answer, while educational videos provide visual explanations and demonstrations.)	Распространение (Propagating)									
301	1	1	Каково назначение компонента во Framer?	What is the purpose of a component in Framer?	Компонент — это многократно используемый элемент пользовательского интерфейса, который можно легко добавить в несколько фреймов или монтажных областей в дизайне. (A component is a reusable UI element that can be easily added to multiple frames or artboards in a design.)	Toolbar (на которой располагаются инструменты для редактирования элементов в Framer?)									
302	1	1	Как добавить интерактивности в прототипы Framer?	How can you add interactivity to your Framer prototypes?	Используя анимацию, переходы и интерактивные события, такие как клики или смахивания. (By using animations, transitions, and interaction events like clicks or swipes.)	Курсор (Cursor)									
303	1	1	Каково значение точек останова в адаптивном веб-дизайне?	What is the significance of breakpoints in responsive web design?	Точки останова определяют определенные размеры экрана, при которых макет веб-сайта настраивается для обеспечения оптимального просмотра. (Breakpoints define specific screen sizes where the layout of a website adjusts to provide an optimal viewing experience.)	Размер (Resizing)									
304	1	1	Какова функция редактора кода во Framer?	What is the function of the Code Editor in Framer?	Редактор кода позволяет вам писать и настраивать базовый код ваших прототипов Framer, обеспечивая более расширенный контроль и функциональность. (The Code Editor allows you to write and customize the underlying code of your Framer prototypes, providing more advanced control and functionality.)	Группировка (Combining multiple elements into a single entity)									
305	1	1	Как вы можете предварительно просмотреть и протестировать прототипы Framer перед их окончательной доработкой?	How can you preview and test your Framer prototypes before finalizing them?	С помощью окна предварительного просмотра или путем экспорта прототипа в веб-браузер или устройство для интерактивного тестирования. (By using the Preview window or by exporting the prototype to a web browser or device for interactive testing.)	Обрезка (Crop tool)									
306	1	1	Какова цель состояний во Framer?	What is the purpose of states in Framer?	Состояния позволяют вам определять различные визуальные состояния для элементов пользовательского интерфейса, таких как наведение, активный или сфокусированный. (States allow you to define different visual states for UI elements, such as hover, active, or focused)	Макет (Arrangement of elements on a webpage)									
307	1	1	В чем разница между фреймом и группой во Framer?	What is the difference between a frame and a group in Framer?	Фрейм — это родительский контейнер, который может иметь дочерние элементы, а группа — это неконтейнерный элемент, используемый в основном для визуальной организации. (A frame is a parent container that can have child elements, while a group is a non-container element used mainly for visual organization.)	Ховер (Hover effect)									
308	1	1	Каково назначение панели «Слои» в Framer?	What is the purpose of the Layers panel in Framer?	Панель «Слои» предоставляет обзор всех элементов пользовательского интерфейса в вашем проекте Framer и позволяет вам эффективно управлять ими. (The Layers panel provides an overview of all the UI elements in your Framer project and allows you to manage them efficiently.)	Шрифт (Style of letters and characters)									
309	1	1	Как вы можете поделиться своими прототипами Framer с другими для обратной связи или совместной работы?	How can you share your Framer prototypes with others for feedback or collaboration?	Путем создания общей ссылки или экспорта прототипа в виде отдельного файла, которым можно поделиться по электронной почте или в облачном хранилище. (By generating a shareable link or by exporting the prototype as a standalone file to be shared via email or cloud storage.)	Инструмент (Shape tool)									
310	1	1	На каких интернет-ресурсах и сообществах вы можете найти поддержку и вдохновение для Framer?	What are some online resources and communities where you can find support and inspiration for Framer?	Официальная документация Framer, форум сообщества Framer и такие платформы, как Dribbble и Behance, — отличные источники для обучения и получения вдохновения от других пользователей Framer. (Framer's official documentation, the Framer Community Forum, and platforms like Dribbble and Behance are great sources for learning, and getting inspired by other Framer users.)	Рамка (Outline around the element)									
311	1	1	Что такое UI? 	What is UI?	Интерфейс (Interface)	Конфеты (Candies)									
312	1	1	Какие типы элементов могут входить в UI? 	What types of elements can be part of UI?	Кнопки, текстовые поля, изображения (Buttons, text fields, images)	Умение рисовать (Ability to draw)									
313	1	1	Что такое Framer? 	What is Framer?	Инструмент для создания интерактивных прототипов (A tool for creating interactive prototypes)	Создание чертежей (Creating drawings)									
314	1	1	Что такое анимация в UI? 	What is animation in UI?	Движение элементов интерфейса (Movement of interface elements)	Магический пендель (Magic pendulum)									
315	1	1	Что такое прототипирование в UI? 	What is prototyping in UI?	Создание рабочей модели интерфейса (Creating a working model of the interface)	Манипулирование временем (Time manipulation)									
316	1	1	Как макеты помогают в UI? 	How do layouts help in UI?	Позволяют спланировать расположение элементов (Allow planning the arrangement of elements)	Создание чертежей (Creating drawings)									
317	1	1	Какие инструменты можно использовать для создания UI макетов? 	What tools can be used to create UI layouts?	Figma, Sketch, Adobe XD (Figma, Sketch, Adobe XD)	Стоят на стеклянных ножках (They stand on glass legs)									
318	1	1	Что такое цветовая палитра в UI? 	What is a color palette in UI?	Набор цветов, используемых в интерфейсе (A set of colors used in the interface)	Фильтры (Filters)									
